"clc","lu","desc0","nbs_code","hazard"
13,212,"Permanently irrigated land","CA-1","Floods"
13,212,"Permanently irrigated land","NA-17","Floods"
13,212,"Permanently irrigated land","EF-5","Erosion"
13,212,"Permanently irrigated land","EF-1","Erosion"
13,212,"Permanently irrigated land","CA-2","Heat"
13,212,"Permanently irrigated land","CA-2","Other"
13,212,"Permanently irrigated land","EF-1","Drought"
13,212,"Permanently irrigated land","CA-2","Floods"
13,212,"Permanently irrigated land","WF-16","Drought"
13,212,"Permanently irrigated land","CA-2","Drought"
16,222,"Fruit trees and berry plantations","WF-4","Erosion"
16,222,"Fruit trees and berry plantations","WF-4","Floods"
16,222,"Fruit trees and berry plantations","WF-4","Drought"
18,231,"Pastures","NA-1","Floods"
18,231,"Pastures","NA-1","Other"
18,231,"Pastures","NA-12","Drought"
18,231,"Pastures","NA-12","Heat"
18,231,"Pastures","CA-2","Floods"
18,231,"Pastures","CA-2","Drought"
18,231,"Pastures","WF-8","Other"
18,231,"Pastures","WF-8","Floods"
18,231,"Pastures","WF-8","Drought"
18,231,"Pastures","EF-2","Flood"
18,231,"Pastures","EF-3","Drought"
18,231,"Pastures","EF-3","Floods"
18,231,"Pastures","WF-7","Other"
18,231,"Pastures","EF-5","Erosion"
18,231,"Pastures","WF-3","Erosion"
18,231,"Pastures","WF-3","Floods"
18,231,"Pastures","WF-3","Drought"
18,231,"Pastures","WF-21","Other"
18,231,"Pastures","WF-21","Floods"
18,231,"Pastures","WF-21","Drought"
18,231,"Pastures","WF-20","Other"
18,231,"Pastures","ES-14","Erosion"
18,231,"Pastures","ES-14","Other"
18,231,"Pastures","WF-20","Drought"
18,231,"Pastures","ES-19","Fires"
18,231,"Pastures","ES-19","Erosion"
18,231,"Pastures","ES-2","Erosion"
18,231,"Pastures","ES-2","Other"
18,231,"Pastures","WF-17","Other"
18,231,"Pastures","WF-17","Erosion"
18,231,"Pastures","WF-17","Drought"
18,231,"Pastures","WF-17","Heat"
18,231,"Pastures","CA-2","Other"
18,231,"Pastures","ES-25","Heat"
18,231,"Pastures","ES-25","Drought"
18,231,"Pastures","ES-25","Other"
18,231,"Pastures","ES-4","Fires"
18,231,"Pastures","ES-4","Other"
18,231,"Pastures","ES-5","Other"
18,231,"Pastures","WF-11","Drought"
18,231,"Pastures","WF-10","Floods"
18,231,"Pastures","WF-10","Drought"
18,231,"Pastures","FRI-1","Drought"
18,231,"Pastures","FRI-1","Other"
18,231,"Pastures","FRI-2","Drought"
18,231,"Pastures","FRI-2","Erosion"
18,231,"Pastures","FRI-2","Other"
18,231,"Pastures","NA-9","Erosion"
18,231,"Pastures","NA-6","Heat"
18,231,"Pastures","CA-2","Heat"
18,231,"Pastures","NA-12","Other"
18,231,"Pastures","NA-1","Heat"
18,231,"Pastures","NA-1","Drought"
19,241,"Annual crops associated with permanent crops","WF-20","Drought"
19,241,"Annual crops associated with permanent crops","NA-1","Other"
19,241,"Annual crops associated with permanent crops","NA-12","Other"
19,241,"Annual crops associated with permanent crops","NA-9","Erosion"
19,241,"Annual crops associated with permanent crops","WF-8","Floods"
19,241,"Annual crops associated with permanent crops","WF-7","Other"
19,241,"Annual crops associated with permanent crops","NA-1","Heat"
19,241,"Annual crops associated with permanent crops","NA-1","Floods"
19,241,"Annual crops associated with permanent crops","NA-12","Drought"
19,241,"Annual crops associated with permanent crops","NA-1","Drought"
19,241,"Annual crops associated with permanent crops","WF-20","Other"
19,241,"Annual crops associated with permanent crops","NA-12","Heat"
19,241,"Annual crops associated with permanent crops","WF-8","Drought"
19,241,"Annual crops associated with permanent crops","CA-1","Floods"
19,241,"Annual crops associated with permanent crops","WF-8","Other"
19,241,"Annual crops associated with permanent crops","NA-16","Other"
20,242,"Complex cultivation patterns","EF-1","Other"
20,242,"Complex cultivation patterns","EF-1","Erosion"
20,242,"Complex cultivation patterns","EF-1","Floods"
20,242,"Complex cultivation patterns","WF-11","Drought"
20,242,"Complex cultivation patterns","EF-3","Drought"
20,242,"Complex cultivation patterns","EF-3","Floods"
20,242,"Complex cultivation patterns","EF-1","Drought"
21,243,"Land principally occupied by agriculture with significant areas","WF-11","Drought"
21,243,"Land principally occupied by agriculture with significant areas","CA-2","Other"
21,243,"Land principally occupied by agriculture with significant areas","EF-5","Erosion"
21,243,"Land principally occupied by agriculture with significant areas","CA-2","Floods"
21,243,"Land principally occupied by agriculture with significant areas","DK-7","Other"
21,243,"Land principally occupied by agriculture with significant areas","DK-8","Other"
21,243,"Land principally occupied by agriculture with significant areas","DK-9","Heat"
21,243,"Land principally occupied by agriculture with significant areas","CA-2","Drought"
21,243,"Land principally occupied by agriculture with significant areas","CA-2","Heat"
21,243,"Land principally occupied by agriculture with significant areas","DK-9","Floods"
21,243,"Land principally occupied by agriculture with significant areas","DK-3","Floods"
22,244,"Agro-forestry areas","ES-4","Fires"
22,244,"Agro-forestry areas","ES-19","Erosion"
22,244,"Agro-forestry areas","ES-19","Fires"
22,244,"Agro-forestry areas","ES-4","Other"
22,244,"Agro-forestry areas","CA-1","Floods"
22,244,"Agro-forestry areas","CA-2","Other"
22,244,"Agro-forestry areas","CA-2","Floods"
22,244,"Agro-forestry areas","CA-2","Drought"
22,244,"Agro-forestry areas","CA-2","Heat"
23,311,"Broad-leaved forest","ES-10","Erosion"
