clc;rasdata;score;description
22;244;0.60;Agroforestry - root systems, cover
26;321;0.60;Natural grasslands - continuous cover
28;323;0.75;Sclerophyllous - deep roots, structure
29;324;0.40;Transitional woodland/shrub
12;211;0.20;Arable land - exposed soil
21;243;0.50;Mosaic crops/natural - patchiness reduces runoff
16;222;0.25;Permanently irrigated - management-dependent
18;231;0.30;Pastures
24;312;0.50;Coniferous forest
23;311;0.60;Broad-leaved forest
25;313;0.55;Mixed forest
