clc,lu,desc0,nbs_code,hazard,landscape_case
13,212,Permanently irrigated land,EF-1,Flood,Rural
13,212,Permanently irrigated land,WF-18,Other,Rural
13,212,Permanently irrigated land,WF-17,Other,Rural
13,212,Permanently irrigated land,WF-17,Erosion,Rural
13,212,Permanently irrigated land,WF-17,Drought,Rural
13,212,Permanently irrigated land,WF-17,Heat,Rural
13,212,Permanently irrigated land,NA-17,Drought,Rural
13,212,Permanently irrigated land,FRI-1,Other,Rural
13,212,Permanently irrigated land,FRI-1,Drought,Rural
13,212,Permanently irrigated land,NA-17,Heat,Rural
13,212,Permanently irrigated land,CA-1,Flood,Rural
13,212,Permanently irrigated land,NA-17,Flood,Rural
13,212,Permanently irrigated land,EF-5,Erosion,Rural
13,212,Permanently irrigated land,EF-1,Erosion,Rural
13,212,Permanently irrigated land,CA-2,Heat,Rural
13,212,Permanently irrigated land,CA-2,Other,Rural
13,212,Permanently irrigated land,EF-1,Drought,Rural
13,212,Permanently irrigated land,CA-2,Flood,Rural
13,212,Permanently irrigated land,WF-16,Drought,Rural
13,212,Permanently irrigated land,CA-2,Drought,Rural
16,222,Fruit trees and berry plantations,WF-4,Erosion,Rural
16,222,Fruit trees and berry plantations,WF-4,Flood,Rural
16,222,Fruit trees and berry plantations,WF-4,Drought,Rural
18,231,Pastures,NA-1,Flood,Rural
18,231,Pastures,NA-1,Other,Rural
18,231,Pastures,NA-12,Drought,Rural
18,231,Pastures,NA-12,Heat,Rural
18,231,Pastures,CA-2,Flood,Rural
18,231,Pastures,CA-2,Drought,Rural
18,231,Pastures,WF-8,Other,Rural
18,231,Pastures,WF-8,Flood,Rural
18,231,Pastures,WF-8,Drought,Rural
18,231,Pastures,EF-2,Flood,Rural
18,231,Pastures,EF-3,Drought,Rural
18,231,Pastures,EF-3,Flood,Rural
18,231,Pastures,WF-7,Other,Rural
18,231,Pastures,EF-5,Erosion,Rural
18,231,Pastures,WF-3,Erosion,Rural
18,231,Pastures,WF-3,Flood,Rural
18,231,Pastures,WF-3,Drought,Rural
18,231,Pastures,WF-21,Other,Rural
18,231,Pastures,WF-21,Flood,Rural
18,231,Pastures,WF-21,Drought,Rural
18,231,Pastures,WF-20,Other,Rural
18,231,Pastures,ES-14,Erosion,Rural
18,231,Pastures,ES-14,Other,Rural
18,231,Pastures,WF-20,Drought,Rural
18,231,Pastures,ES-19,Fires,Rural
18,231,Pastures,ES-19,Erosion,Rural
18,231,Pastures,ES-2,Erosion,Rural
18,231,Pastures,ES-2,Other,Rural
18,231,Pastures,WF-17,Other,Rural
18,231,Pastures,WF-17,Erosion,Rural
18,231,Pastures,WF-17,Drought,Rural
18,231,Pastures,WF-17,Heat,Rural
18,231,Pastures,CA-2,Other,Rural
18,231,Pastures,ES-25,Heat,Rural
18,231,Pastures,ES-25,Drought,Rural
18,231,Pastures,ES-25,Other,Rural
18,231,Pastures,ES-4,Fires,Rural
18,231,Pastures,ES-4,Other,Rural
18,231,Pastures,ES-5,Other,Rural
18,231,Pastures,WF-11,Drought,Rural
18,231,Pastures,WF-10,Flood,Rural
18,231,Pastures,WF-10,Drought,Rural
18,231,Pastures,FRI-1,Drought,Rural
18,231,Pastures,FRI-1,Other,Rural
18,231,Pastures,FRI-2,Drought,Rural
18,231,Pastures,FRI-2,Erosion,Rural
18,231,Pastures,FRI-2,Other,Rural
18,231,Pastures,NA-9,Erosion,Rural
18,231,Pastures,NA-6,Heat,Rural
18,231,Pastures,CA-2,Heat,Rural
18,231,Pastures,NA-12,Other,Rural
18,231,Pastures,NA-1,Heat,Rural
18,231,Pastures,NA-1,Drought,Rural
19,241,Annual crops associated with permanent crops,WF-20,Drought,Rural
19,241,Annual crops associated with permanent crops,NA-1,Other,Rural
19,241,Annual crops associated with permanent crops,NA-12,Other,Rural
19,241,Annual crops associated with permanent crops,NA-9,Erosion,Rural
19,241,Annual crops associated with permanent crops,WF-8,Flood,Rural
19,241,Annual crops associated with permanent crops,WF-7,Other,Rural
19,241,Annual crops associated with permanent crops,NA-1,Heat,Rural
19,241,Annual crops associated with permanent crops,NA-1,Flood,Rural
19,241,Annual crops associated with permanent crops,NA-12,Drought,Rural
19,241,Annual crops associated with permanent crops,NA-1,Drought,Rural
19,241,Annual crops associated with permanent crops,WF-20,Other,Rural
19,241,Annual crops associated with permanent crops,NA-12,Heat,Rural
19,241,Annual crops associated with permanent crops,WF-8,Drought,Rural
19,241,Annual crops associated with permanent crops,CA-1,Flood,Rural
19,241,Annual crops associated with permanent crops,WF-8,Other,Rural
19,241,Annual crops associated with permanent crops,NA-16,Other,Rural
20,242,Complex cultivation patterns,EF-1,Other,Rural
20,242,Complex cultivation patterns,EF-1,Erosion,Rural
20,242,Complex cultivation patterns,EF-1,Flood,Rural
20,242,Complex cultivation patterns,WF-11,Drought,Rural
20,242,Complex cultivation patterns,EF-3,Drought,Rural
20,242,Complex cultivation patterns,EF-3,Flood,Rural
20,242,Complex cultivation patterns,EF-1,Drought,Rural
21,243,Land principally occupied by agriculture with significant areas,WF-11,Drought,Rural
